N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation
1,50,3,3,6.828326464,0.007869134,1.2688272,0.537322283,0.029107094,0.001271753,0.002395391
2,50,3,3,6.854076862,0.007834363,1.276084661,0.548147678,0.029893398,0.001255555,0.00251174
3,50,3,3,7.502845049,0.00960526,1.40084815,0.553521156,0.030869484,0.001285667,0.002602339
4,50,3,3,6.930711746,0.008181438,1.27999258,0.524329424,0.033762932,0.001407366,0.002487421
5,50,3,3,6.798993349,0.007743907,1.273348093,0.53853178,0.029454708,0.001313148,0.002411127
6,50,3,3,6.837171316,0.008195868,1.277359962,0.536678553,0.031685352,0.001374989,0.003814936
7,50,3,3,6.9298172,0.007894616,1.316072702,0.530154705,0.030954123,0.001297231,0.002492666
8,50,3,3,6.870853186,0.007727494,1.270859003,0.593832731,0.031774998,0.001286345,0.002389193
9,50,3,3,6.890613794,0.008107133,1.272106171,0.539502859,0.033627272,0.00142653,0.002633572
10,50,3,3,6.950398445,0.00777606,1.3055408,0.527519703,0.030873537,0.00131474,0.002424717
11,50,3,3,6.778371811,0.008165674,1.270884514,0.54844594,0.029778719,0.001256599,0.002379656
12,50,3,3,6.790777683,0.0078023,1.310131311,0.522672176,0.030446768,0.001263433,0.002405167
13,50,3,3,6.783299208,0.007810359,1.264417171,0.608378887,0.029945135,0.001269917,0.002383947
14,50,3,3,6.905297756,0.008179388,1.316127062,0.567658663,0.032601357,0.001345186,0.002449036
15,50,3,3,6.820458651,0.007645249,1.292317152,0.528613806,0.029026031,0.00125752,0.002373934
16,50,3,3,6.818196058,0.00802258,1.283998489,0.549427032,0.029371023,0.001276302,0.002375364
17,50,3,3,6.781996965,0.007735233,1.294559956,0.527420521,0.029037476,0.001283703,0.002392292
18,50,3,3,6.886920691,0.007694259,1.275917768,0.543086767,0.029187202,0.001283684,0.002376795
19,50,3,3,6.892803907,0.008177013,1.279388666,0.526802063,0.03433156,0.001398807,0.002937555
20,50,3,3,6.807499409,0.007683005,1.294644356,0.53854847,0.029998064,0.001266236,0.002405643
21,50,3,3,6.890044928,0.008085527,1.276633501,0.547128439,0.029731035,0.001267834,0.002466917
22,50,3,3,6.821355581,0.007735982,1.298053741,0.529273033,0.030133009,0.001273117,0.002387762
23,50,3,3,6.864490986,0.007818875,1.270459414,0.54739213,0.02927947,0.001280661,0.002801418
24,50,3,3,6.840688229,0.007905431,1.287855864,0.528674841,0.028781176,0.001307049,0.002392054
25,50,3,3,6.780771732,0.007805209,1.275074005,0.540693283,0.029771328,0.001282153,0.00238204
26,50,3,3,6.776034117,0.007938147,1.275896072,0.529511452,0.029800415,0.001321244,0.002562523
27,50,3,3,6.897487879,0.007779369,1.283468723,0.540315628,0.029044151,0.001290226,0.002356529
28,50,3,3,7.080879211,0.007795115,1.293364048,0.546480894,0.029118538,0.001256375,0.002365828
29,50,3,3,6.846765041,0.008054452,1.284371614,0.523515701,0.030593395,0.001381235,0.002421141
30,50,3,3,6.794314384,0.007674108,1.282783031,0.546419382,0.029037237,0.001254764,0.002541542
31,50,3,3,6.79558301,0.008115931,1.264482737,0.527910471,0.033013821,0.001381884,0.002396584
32,50,3,3,6.932995081,0.007758431,1.295191765,0.533147812,0.030024529,0.001280856,0.002536297
33,50,3,3,6.807060719,0.008052297,1.266493797,0.595171928,0.02956605,0.00126265,0.002370119
34,50,3,3,6.779255867,0.007754922,1.300311565,0.523736715,0.030319452,0.001258516,0.002360821
35,50,3,3,8.409008503,0.00819345,1.3066113,0.524849415,0.033397913,0.001381497,0.003272295
36,50,3,3,6.843097448,0.007651811,1.285653591,0.539824247,0.029147625,0.001263571,0.00236249
37,50,3,3,6.807729483,0.008087955,1.271303177,0.537003279,0.031535864,0.001360755,0.002394915
38,50,3,3,6.7752316,0.007787743,1.294070005,0.538680077,0.029886961,0.00126514,0.002526999
39,50,3,3,6.923021793,0.008605151,1.300475836,0.542800903,0.030436516,0.001266618,0.002526045
40,50,3,3,7.283648968,0.00792706,1.432351589,0.685330153,0.036661386,0.001462479,0.002471209
41,50,3,3,6.839473724,0.008077979,1.274211645,0.543557882,0.029877424,0.001258082,0.00239253
42,50,3,3,6.829773426,0.007830129,1.309928179,0.529935598,0.029467821,0.001275849,0.002444983
43,50,3,3,6.872838259,0.007877603,1.411009073,0.740106821,0.043725967,0.001526561,0.003877163
44,50,3,3,8.910007,0.008229713,1.369970322,1.085528135,0.058739424,0.002475958,0.004694939
45,50,3,3,13.88977528,0.012633271,2.840049267,1.406385899,0.098104239,0.003458757,0.00916934
46,50,3,3,8.473550797,0.008265224,1.78962779,1.126030445,0.064772606,0.002765288,0.007989168
47,50,3,3,8.009107351,0.010129795,1.507649899,0.609746933,0.030717373,0.001277599,0.002424479
48,50,3,3,7.612136841,0.008152871,1.680956364,0.986103773,0.071919918,0.003042111,0.005813837
49,50,3,3,10.47880602,0.014471087,1.609711885,0.930976629,0.0365839,0.001482687,0.003825903
50,50,3,3,7.769701719,0.013743501,1.749983311,0.533905745,0.032842636,0.001318903,0.002592564
51,50,3,3,7.238223314,0.007972651,1.521285772,0.55748558,0.035138369,0.001525874,0.002565622
52,50,3,3,8.149225473,0.009905028,1.460186958,0.565974951,0.02929616,0.00129765,0.003452301
53,50,3,3,7.490571022,0.008286991,1.287936449,0.548421621,0.029389143,0.001257148,0.002376318
54,50,3,3,7.521761656,0.009142566,1.848873138,1.223032236,0.077683687,0.002942142,0.002616405
55,50,3,3,12.69468284,0.009298596,1.594401121,0.790373325,0.035263777,0.001367879,0.002799511
56,50,3,3,9.31491518,0.008049541,1.508158922,0.642966032,0.039354563,0.001649513,0.003582001
57,50,3,3,7.754164934,0.007919903,1.457716942,0.922080994,0.045383215,0.001936131,0.003089428
58,50,3,3,7.660695791,0.008828125,1.792298555,0.929879427,0.072863579,0.002406621,0.004719496
59,50,3,3,10.01942325,0.008736372,1.59832406,0.78497839,0.052762032,0.001732249,0.00301075
60,50,3,3,7.456227064,0.009053183,1.325901031,0.579003334,0.03150034,0.001337729,0.002524376
61,50,3,3,7.038484573,0.008242264,1.47043395,0.595352173,0.075634003,0.001258702,0.002551317
62,50,3,3,7.519279003,0.013806872,2.342865467,0.886519432,0.064694881,0.002143188,0.005033255
63,50,3,3,11.47669554,0.012839417,1.735239983,0.772542477,0.040062904,0.001570816,0.002753019
64,50,3,3,8.692619085,0.010552874,1.921825886,0.769231319,0.037422419,0.001378083,0.002524853
65,50,3,3,8.313178062,0.00900053,1.42361021,0.658242941,0.034501553,0.001354551,0.002528667
66,50,3,3,8.773609877,0.009954834,1.589527369,0.757826567,0.06006217,0.001806154,0.002434254
67,50,3,3,9.579214096,0.010251541,1.58189559,0.634331465,0.032609701,0.001356211,0.00276494
68,50,3,3,7.91263938,0.008430452,1.637271404,0.703004599,0.031377792,0.001341505,0.00240612
69,50,3,3,8.484744787,0.010813737,1.808041334,0.676555157,0.046014547,0.001648612,0.005463839
70,50,3,3,7.988069296,0.009847684,1.413491488,0.558162451,0.036344767,0.001463618,0.003194571
71,50,3,3,10.83350205,0.008765049,1.628945351,0.870583773,0.04347682,0.001497135,0.002753258
72,50,3,3,7.84303093,0.008441868,1.323184013,0.790733099,0.068652391,0.001684275,0.002613306
73,50,3,3,7.931905985,0.008943105,1.370609283,0.564554691,0.029764891,0.001276546,0.002401114
74,50,3,3,7.494134903,0.008387561,1.511547804,0.618562937,0.033246994,0.001408315,0.00300169
75,50,3,3,7.819049835,0.007775397,1.369218588,0.894465446,0.0636518,0.002447762,0.003775597
76,50,3,3,7.805543184,0.008194432,1.423291683,0.54515028,0.039350271,0.001720858,0.00258112
77,50,3,3,7.451348305,0.009060397,1.555821896,0.559907436,0.029552937,0.00126173,0.002384186
78,50,3,3,8.519893408,0.008779292,1.398985624,0.629896879,0.02950716,0.001263757,0.002445459
79,50,3,3,8.213130236,0.008257785,1.954757452,1.100531101,0.054799557,0.002056885,0.004247427
80,50,3,3,8.358602524,0.008626814,1.424983263,0.533020735,0.030154228,0.001520329,0.002609253
81,50,3,3,7.049239635,0.008439069,1.953645945,0.870369434,0.036698818,0.001284637,0.00240016
82,50,3,3,8.054548979,0.008799996,1.505950689,0.679577112,0.069760323,0.002221451,0.002414465
83,50,3,3,8.029429436,0.009241462,1.966968775,1.045185089,0.064071178,0.002619624,0.00585556
84,50,3,3,7.764146328,0.008078442,1.307866096,0.579295397,0.029752731,0.001296573,0.002466202
85,50,3,3,8.123836994,0.010810447,1.549065828,0.692290783,0.031730652,0.001433191,0.002568483
86,50,3,3,7.799434185,0.008479023,1.968408346,0.617997885,0.035258055,0.001417975,0.002383471
87,50,3,3,8.994831085,0.012583995,2.243919134,1.1454072,0.10555625,0.003062024,0.002788782
88,50,3,3,7.659974575,0.008015618,1.308337688,0.554931402,0.032166243,0.001276975,0.002402067
89,50,3,3,9.64081645,0.01525095,2.532731771,1.228108168,0.036017179,0.002996063,0.005546093
90,50,3,3,10.34849691,0.010795932,1.868929863,0.758355379,0.035416365,0.001586733,0.002650499
91,50,3,3,8.278944016,0.012211466,1.48576808,0.869456768,0.08833456,0.00296761,0.005506039
92,50,3,3,9.200799942,0.008158269,1.389931679,0.745812654,0.031807423,0.001343012,0.002465725
93,50,3,3,7.87014699,0.00801795,1.284758091,0.549190521,0.029646397,0.001263537,0.002381563
94,50,3,3,7.262675047,0.007686787,1.273311138,0.58065176,0.032938004,0.001436033,0.002623558
95,50,3,3,7.564705372,0.008458829,1.412770271,0.659172773,0.038926363,0.001393938,0.002394676
96,50,3,3,6.916492939,0.008501143,1.534973621,0.635298252,0.029622078,0.001554689,0.002407074
97,50,3,3,9.205948114,0.008452277,1.436642408,0.598016262,0.041397572,0.001397743,0.002454519
98,50,3,3,7.527704716,0.008478174,1.511259317,0.563750267,0.034437418,0.001562605,0.003117323
99,50,3,3,7.811829567,0.00884449,1.45853591,0.637676954,0.042026281,0.002218833,0.002887487
100,50,3,3,8.957561493,0.012043772,1.737754822,1.140140057,0.089677572,0.003144541,0.005710602
101,100,3,3,13.78637362,0.007791638,2.774149179,1.035520554,0.05906868,0.001511941,0.002392292
102,100,3,3,13.89316511,0.007864599,3.320921183,1.038372517,0.061339378,0.001522362,0.00240016
103,100,3,3,13.76517129,0.007901251,2.71428299,1.079348564,0.058191299,0.00150028,0.003763676
104,100,3,3,13.82217073,0.007913196,2.708264589,1.030139208,0.059386253,0.001513522,0.002405167
105,100,3,3,13.60539603,0.007817333,2.733700037,1.048720837,0.058758736,0.001509132,0.00240922
106,100,3,3,13.76788878,0.00790529,2.731060505,1.031895161,0.058926344,0.001501946,0.002400637
107,100,3,3,13.71282005,0.007892587,2.732967854,1.032953739,0.059872389,0.001516318,0.002413034
108,100,3,3,13.69429636,0.00786834,2.76621294,1.038478374,0.060837269,0.001516817,0.002439022
109,100,3,3,13.80060887,0.00797152,2.730896235,1.028622389,0.059371471,0.001506143,0.002500057
110,100,3,3,13.80609465,0.007934361,2.718774319,1.04068327,0.05939436,0.001498406,0.002390385
111,100,3,3,14.18580484,0.009215345,3.728970528,1.317070961,0.059885263,0.001577635,0.002428055
